round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b
1,0,coursera,0,1971,1.1133,0,0,0,0,16,335544320
1,1,financial_qa,0,1963,3.0817,16,0,0,0,30,629145600
1,2,legal_contract_qa,0,1964,3.3812,16,0,0,0,30,629145600
1,3,meeting_summ,0,1938,2.6319,16,0,0,0,30,629145600
1,4,multidoc_qa,0,1952,2.5696,16,0,0,0,30,629145600
1,5,narrative_qa,0,1935,2.5147,16,0,0,0,30,629145600
1,6,natural_question,0,1940,2.5898,16,0,0,0,30,629145600
1,7,paper_assistant,0,1934,2.5308,16,0,0,0,30,629145600
1,8,quality,0,1988,3.1151,16,0,0,0,30,629145600
1,9,review_summ,0,1940,3.9082,16,0,0,0,31,650117120
1,10,sci_fi,0,1961,3.832,16,0,0,0,30,629145600
1,11,scientific_qa,0,1934,3.7563,16,0,0,0,30,629145600
1,12,topic_retrieval_longchat,0,1945,3.9455,16,0,0,0,30,629145600
1,13,tpo,0,1994,4.1843,16,0,0,0,30,629145600
1,14,coursera,0,1986,4.4981,16,0,0,0,31,650117120
1,15,financial_qa,0,1969,4.344,16,0,0,0,31,650117120
1,16,legal_contract_qa,0,1961,4.3063,16,0,0,0,30,629145600
1,17,meeting_summ,0,1939,4.2464,16,0,0,0,30,629145600
1,18,multidoc_qa,0,1936,4.3821,16,0,0,0,30,629145600
1,19,narrative_qa,0,1939,4.2889,16,0,0,0,30,629145600
1,20,natural_question,0,1939,4.2512,16,0,0,0,30,629145600
1,21,paper_assistant,0,1934,4.2935,16,0,0,0,30,629145600
1,22,quality,0,2032,4.3343,16,0,0,0,30,629145600
1,23,review_summ,0,1942,4.0735,16,0,0,0,31,650117120
1,24,sci_fi,0,1968,3.6545,16,0,0,0,30,629145600
1,25,scientific_qa,0,1933,3.864,16,0,0,0,30,629145600
1,26,topic_retrieval_longchat,0,1945,4.2151,16,0,0,0,30,629145600
1,27,tpo,0,1980,4.4068,16,0,0,0,30,629145600
1,28,coursera,0,1980,4.2992,16,0,0,0,30,629145600
1,29,financial_qa,0,1974,4.2689,16,0,0,0,30,629145600
1,30,legal_contract_qa,0,1961,4.3882,16,0,0,0,30,629145600
1,31,meeting_summ,0,1933,3.8651,16,0,0,0,30,629145600
1,32,multidoc_qa,0,1938,4.2128,16,0,0,0,30,629145600
1,33,narrative_qa,0,1942,4.0181,16,0,0,0,30,629145600
1,34,natural_question,0,1940,4.0323,16,0,0,0,30,629145600
1,35,paper_assistant,0,1934,3.9853,16,0,0,0,30,629145600
1,36,quality,0,2001,4.4835,16,0,0,0,30,629145600
1,37,review_summ,0,1943,3.8221,16,0,0,0,31,650117120
1,38,sci_fi,0,1954,4.0671,16,0,0,0,30,629145600
1,39,scientific_qa,0,1931,4.0063,16,0,0,0,30,629145600
1,40,topic_retrieval_longchat,0,1945,3.926,16,0,0,0,30,629145600
1,41,tpo,0,1980,4.2473,16,0,0,0,30,629145600
1,42,coursera,0,1964,4.0703,16,0,0,0,30,629145600
1,43,financial_qa,0,1970,4.11,16,0,0,0,30,629145600
1,44,legal_contract_qa,0,1964,4.1229,16,0,0,0,30,629145600
1,45,meeting_summ,0,1942,4.0531,16,0,0,0,30,629145600
1,46,multidoc_qa,0,1935,3.5462,16,0,0,0,30,629145600
1,47,narrative_qa,0,1932,3.9103,16,0,0,0,30,629145600
1,48,natural_question,0,1941,3.9326,16,0,0,0,30,629145600
1,49,paper_assistant,0,1934,4.018,16,0,0,0,30,629145600
1,50,quality,0,2032,3.8613,16,0,0,0,30,629145600
1,51,review_summ,0,1942,4.232,16,0,0,0,31,650117120
1,52,sci_fi,0,1956,3.9656,16,0,0,0,30,629145600
1,53,scientific_qa,0,1935,3.9608,16,0,0,0,30,629145600
1,54,topic_retrieval_longchat,0,1945,3.927,16,0,0,0,30,629145600
1,55,tpo,0,2009,3.5787,16,0,0,0,30,629145600
1,56,coursera,0,2011,4.2453,16,0,0,0,31,650117120
1,57,financial_qa,0,1971,4.2879,16,0,0,0,31,650117120
1,58,legal_contract_qa,0,1961,3.8681,16,0,0,0,30,629145600
1,59,meeting_summ,0,1942,3.5767,16,0,0,0,30,629145600
1,60,multidoc_qa,0,1935,3.6495,16,0,0,0,30,629145600
1,61,narrative_qa,0,1937,3.7349,16,0,0,0,30,629145600
1,62,natural_question,0,1934,3.1755,16,0,0,0,30,629145600
1,63,paper_assistant,0,1934,3.6335,16,0,0,0,30,629145600
2,14,coursera,1,1984,2.2892,1920,1904,30,623902720,15,314572800
2,8,quality,1,1952,0.7127,1920,1904,30,623902720,0,0
2,3,meeting_summ,1,1937,0.7051,1920,1904,30,623902720,0,0
2,48,natural_question,1,1941,0.6852,1920,1904,30,623902720,0,0
2,18,multidoc_qa,1,1952,0.792,1920,1904,30,623902720,0,0
2,26,topic_retrieval_longchat,1,1945,0.6579,1920,1904,30,623902720,0,0
2,41,tpo,1,1987,0.7789,1920,1904,30,623902720,1,20971520
2,63,paper_assistant,1,2032,0.1446,1920,0,0,0,1,20971520
2,56,coursera,1,2007,0.8959,1920,1904,30,623902720,1,20971520
2,17,meeting_summ,1,1934,0.5469,1920,1904,30,623902720,0,0
2,0,coursera,1,1974,0.4636,1920,1904,30,623902720,0,0
2,16,legal_contract_qa,1,1981,0.6057,1920,1904,30,623902720,0,0
2,55,tpo,1,1989,0.5559,1920,1904,30,623902720,1,20971520
2,51,review_summ,1,1948,0.5018,1920,1904,30,623902720,0,0
2,11,scientific_qa,2,1944,0.4283,1920,1904,30,623902720,0,0
2,31,meeting_summ,1,1932,0.3725,1920,1904,30,623902720,0,0
2,27,tpo,1,1990,0.4314,1920,1904,30,623902720,1,20971520
2,59,meeting_summ,1,1942,0.4723,1920,1904,30,623902720,0,0
2,9,review_summ,1,1945,0.7017,1920,1904,30,623902720,0,0
2,13,tpo,1,2008,0.7887,1920,1904,30,623902720,1,20971520
2,50,quality,1,2032,0.7743,1920,1904,30,623902720,1,20971520
2,7,paper_assistant,1,2032,0.8547,1920,1904,30,623902720,1,20971520
2,58,legal_contract_qa,1,1976,0.7899,1920,1904,30,623902720,0,0
2,21,paper_assistant,1,2032,0.8128,1920,1904,30,623902720,1,20971520
2,61,narrative_qa,1,1938,0.7817,1920,1904,30,623902720,0,0
2,20,natural_question,1,1934,0.6537,1920,1904,30,623902720,0,0
2,15,financial_qa,1,1983,0.7116,1920,1904,30,623902720,0,0
2,25,scientific_qa,1,1935,0.4283,1920,1904,30,623902720,0,0
2,43,financial_qa,1,1964,0.3814,1920,1904,30,623902720,0,0
2,32,multidoc_qa,1,1942,0.5076,1920,1904,30,623902720,0,0
2,38,sci_fi,1,1964,0.4078,1920,1904,30,623902720,0,0
2,24,sci_fi,1,1969,0.4177,1920,1904,30,623902720,0,0
2,40,topic_retrieval_longchat,1,1945,0.4281,1920,1904,30,623902720,0,0
2,2,legal_contract_qa,1,1976,0.3585,1920,1904,30,623902720,0,0
2,4,multidoc_qa,1,1953,0.4042,1920,1904,30,623902720,0,0
2,6,natural_question,1,1936,0.3372,1920,1904,30,623902720,0,0
2,33,narrative_qa,1,1941,0.6528,1920,1904,30,623902720,0,0
2,10,sci_fi,1,1966,0.7678,1920,1904,30,623902720,0,0
2,37,review_summ,1,1945,0.7051,1920,1904,30,623902720,0,0
2,46,multidoc_qa,1,1940,0.685,1920,1904,30,623902720,0,0
2,12,topic_retrieval_longchat,1,1945,0.7167,1920,1888,30,618659840,0,0
2,54,topic_retrieval_longchat,1,1945,0.7376,1920,1888,30,618659840,0,0
2,19,narrative_qa,1,1939,0.7944,1920,1904,30,623902720,0,0
2,45,meeting_summ,1,1934,0.7335,1920,1904,30,623902720,0,0
2,49,paper_assistant,1,2032,0.7756,1920,1904,30,623902720,1,20971520
2,29,financial_qa,1,1963,0.5481,1920,1904,30,623902720,0,0
2,30,legal_contract_qa,1,1976,0.4691,1920,1904,30,623902720,0,0
2,42,coursera,1,1997,0.4351,1920,1904,30,623902720,1,20971520
2,28,coursera,1,2002,0.6187,1920,1904,30,623902720,1,20971520
2,44,legal_contract_qa,1,1976,0.5555,1920,1904,30,623902720,0,0
2,62,natural_question,1,1936,0.339,1920,1904,30,623902720,0,0
2,57,financial_qa,1,1960,0.3609,1920,1904,30,623902720,0,0
2,22,quality,1,2032,0.438,1920,1904,30,623902720,1,20971520
2,34,natural_question,1,1937,0.527,1920,1904,30,623902720,0,0
2,53,scientific_qa,1,1935,0.6311,1920,1904,30,623902720,0,0
2,5,narrative_qa,1,1937,0.6206,1920,1904,30,623902720,0,0
2,36,quality,1,1997,0.7403,1920,1904,30,623902720,1,20971520
2,1,financial_qa,1,1966,0.7561,1920,1904,30,623902720,0,0
2,52,sci_fi,1,1962,0.6663,1920,1904,30,623902720,0,0
2,23,review_summ,1,1941,0.6781,1920,1904,30,623902720,0,0
2,47,narrative_qa,1,1940,0.6731,1920,1904,30,623902720,0,0
2,60,multidoc_qa,1,1934,0.694,1920,1904,30,623902720,0,0
2,39,scientific_qa,1,1934,0.7794,1920,1904,30,623902720,0,0
2,35,paper_assistant,1,2032,0.5203,1920,1904,30,623902720,1,20971520
